"pdb.id","evalue","identity","method","resolution","source"
"3ZMU_A",0,59.159,"X-ray",3.2,"Homo sapiens"
"6S35_A",0,59.07,"X-ray",3.1,"synthetic construct"
"6VYP_K",0,59.009,"X-ray",4.99,"Xenopus laevis"
